ISSUE DATE,DOCM NO.,CUSTOMER NAME,,SALES EXEC,ITEM CODE,QTY,UNIT PRICE,UNIT COST,TOTAL AMOUNT,MARKUP,PROJECT CODE
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,1,-159460.3621,0,-159460.3621,0,
31-12-2010,DQ1082,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,1,-159460.3621,0,-159460.3621,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,1,-18999.7756,0,-18999.7756,0,
31-12-2010,DQ1082,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,1,-18999.7756,0,-18999.7756,0,
31-12-2010,DQ1081,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,1,-15343.6221,0,-15343.6221,0,
31-12-2010,DQ1082,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,1,-15343.6221,0,-15343.6221,0,
31-12-2010,DQ1112,AA Advent Devices (Asia) Limited - US,,Kim Meng Tan,SBM19,3,-5,0,-15,0,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0036,0,62,37.8,0,0.6402,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0037,0,70,46.2,0,0.5152,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0040,0,50,39,0,0.2821,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0126,0,45,27,0,0.6667000000000001,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0124,0,35,21,0,0.6667000000000001,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0041,0,50,40.8,0,0.2255,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0032,0,53,31.8,0,0.6667000000000001,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0038,0,78,47.4,0,0.6456000000000001,
09-01-2010,DQ1060,Algintons Print & Graphics Pte Ltd,,,1810-T0031,0,71,45.6,0,0.557,
13-01-2010,SQ1006,Chang Tat Weng Polyethylene Co,,Kim Meng Tan,RAUA-FILM,0,3.59,2.15,0,0.6698000000000001,
22-03-2010,SQ1030,Emetrix,,Priscella Pan,DIFST10046105,0,1.2,0,0,0,PC-2021
05-06-2010,SQ1053,JFL Chemical Pte Ltd,,Tommy Shen,GIST11001106,0,1.1,0,0,0,PC-2007
08-06-2010,SQ1054,Mexter (M) Berhad,,Yew Huat Xue,1810-T0040,0,65,39,0,0.6667000000000001,PC-2009
08-06-2010,SQ1054,Mexter (M) Berhad,,Yew Huat Xue,1810-T0127,0,43,25.8,0,0.6667000000000001,PC-2009
22-06-2010,SQ1057,Allylink Pte Ltd,,K T Chan,19585P-R,0,43,25.8,0,0.6667000000000001,
01-08-2010,TS1004,JEWEL CHANGI AIRPORT DEVT PTE LTD,,Kim Meng Tan,,0,0,0,0,0,GM21-24/03
