BOUSTEAD PROJECTS E&C PTE LTD
INCOME STATEMENT BY PROJECT
REPORTING DATE : 01-01-2025 THROUGH 01-10-2025
REPORTING CURRENCY : SGD

CODE,DESCRIPTION,PROJECT_CODE,VALUE
"501001","CONSTRUCTION CONTRACT REVENUE","10000","10,000.00"
"501001","CONSTRUCTION CONTRACT REVENUE","18181","15,300.00"
"501001","CONSTRUCTION CONTRACT REVENUE","18182","3,324,962.16"
"501001","CONSTRUCTION CONTRACT REVENUE","19188","113,927.00"
"501001","CONSTRUCTION CONTRACT REVENUE","20000","110,000.00"
"501001","CONSTRUCTION CONTRACT REVENUE","22207","2,245,890.00"
"501001","CONSTRUCTION CONTRACT REVENUE","22208","-136,153.69"
"501001","CONSTRUCTION CONTRACT REVENUE","23211","328,307.04"
"501001","CONSTRUCTION CONTRACT REVENUE","24211","3,702,056.00"
"501001","CONSTRUCTION CONTRACT REVENUE","24212","24,035.00"
"501001","CONSTRUCTION CONTRACT REVENUE","24215","178,000.00"
"501001","CONSTRUCTION CONTRACT REVENUE","24216","10,079,266.63"
"501001","CONSTRUCTION CONTRACT REVENUE","24217","2,018,457.51"
"501001","CONSTRUCTION CONTRACT REVENUE","25218","177,619.20"
"501001","CONSTRUCTION CONTRACT REVENUE","TOTAL","22,191,666.85"
"5010","Revenue","10000","10,000.00"
"5010","Revenue","18181","15,300.00"
"5010","Revenue","18182","3,324,962.16"
"5010","Revenue","19188","113,927.00"
"5010","Revenue","20000","110,000.00"
"5010","Revenue","22207","2,245,890.00"
"5010","Revenue","22208","-136,153.69"
"5010","Revenue","23211","328,307.04"
"5010","Revenue","24211","3,702,056.00"
"5010","Revenue","24212","24,035.00"
"5010","Revenue","24215","178,000.00"
"5010","Revenue","24216","10,079,266.63"
"5010","Revenue","24217","2,018,457.51"
"5010","Revenue","25218","177,619.20"
"5010","Revenue","TOTAL","22,191,666.85"
"50","Revenue","10000","10,000.00"
"50","Revenue","18181","15,300.00"
"50","Revenue","18182","3,324,962.16"
"50","Revenue","19188","113,927.00"
"50","Revenue","20000","110,000.00"
"50","Revenue","22207","2,245,890.00"
"50","Revenue","22208","-136,153.69"
"50","Revenue","23211","328,307.04"
"50","Revenue","24211","3,702,056.00"
"50","Revenue","24212","24,035.00"
"50","Revenue","24215","178,000.00"
"50","Revenue","24216","10,079,266.63"
"50","Revenue","24217","2,018,457.51"
"50","Revenue","25218","177,619.20"
"50","Revenue","TOTAL","22,191,666.85"
"600001","PROJECT COSTS OF SALES","17164","-264,280.53"
"600001","PROJECT COSTS OF SALES","17165","11,520.00"
"600001","PROJECT COSTS OF SALES","18181","-1,047,512.67"
"600001","PROJECT COSTS OF SALES","18182","1,998,741.19"
"600001","PROJECT COSTS OF SALES","18183","-2,260.00"
"600001","PROJECT COSTS OF SALES","19188","-100,000.00"
"600001","PROJECT COSTS OF SALES","20000","9,710.00"
"600001","PROJECT COSTS OF SALES","20198","10,178.83"
